주소,토양통명,표토토성,심토토성,경사,배수등급,유효토심,모암_모재,분포지형
전라북도 완주군 상관면 의암리 산189-4 ,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 항가리 286,초계,미사질양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 용진읍 용흥리 212-15 ,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 용복리 905-201 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 경천면 용복리 791-3 ,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 용진읍 운곡리 134,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 백여리 1381,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 소농리 766-1 ,지곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 용진읍 신지리 1135-32,덕천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 갈산리 64-69 ,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 소농리 739,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 용흥리 636-2,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 삼례읍 삼례리 21-2,석천,양토,사양질,15-30%,매우양호,보통_50-100cm,산성암,산악지
